Curso-Seccion,Promedio,Calculo,Estadistica,Fisica,Quimica,Programacion,GestionEmp,Economia
TE111-V,15.826,0.15,0.10,0.00,0.00,0.30,0.45,0.00
TE122-U,16.744,0.10,0.10,0.00,0.40,0.20,0.20,0.00
TE124-U,16.504,0.10,0.10,0.00,0.30,0.20,0.30,0.00
TE125-U,17.097,0.10,0.20,0.00,0.00,0.30,0.40,0.00
TE126-U,15.368,0.10,0.20,0.00,0.00,0.30,0.40,0.00
TE301-U,16.744,0.10,0.10,0.00,0.50,0.20,0.10,0.00
TE302-V,17.145,0.10,0.10,0.00,0.00,0.50,0.30,0.00
TE401-U,15.226,0.20,0.10,0.30,0.00,0.20,0.20,0.00
TE401-V,15.226,0.20,0.10,0.30,0.00,0.20,0.20,0.00
TE501-U,15.226,0.10,0.10,0.30,0.00,0.30,0.20,0.00
TE501-V,16.835,0.10,0.10,0.30,0.00,0.30,0.20,0.00
TE503-U,17.28,0.10,0.10,0.00,0.10,0.20,0.50,0.00
TE503-V,17.843,0.10,0.10,0.00,0.10,0.20,0.50,0.00
TE601-U,16.38,0.10,0.10,0.00,0.30,0.20,0.30,0.00
TE602-V,16.38,0.10,0.10,0.00,0.10,0.20,0.50,0.00
TE603-U,16.733,0.10,0.30,0.00,0.00,0.30,0.30,0.00
TE604-V,16.38,0.10,0.10,0.20,0.00,0.30,0.30,0.00
TE802-U,17.145,0.10,0.10,0.00,0.00,0.30,0.50,0.00
TE802-V,16.76,0.10,0.10,0.00,0.00,0.30,0.50,0.00
TE803-V,16.589,0.10,0.20,0.00,0.00,0.30,0.40,0.00
TE901-V,17.773,0.10,0.10,0.00,0.00,0.30,0.50,0.00
TP313-U,16.374,0.10,0.10,0.00,0.00,0.50,0.30,0.00
TP505-V,16.589,0.10,0.20,0.00,0.00,0.30,0.40,0.00
